time,coverage,fitness,total_execs,dictionary,fatals
60,2456,11295,206500,58,1
120,2484,12334,349577,7,1
180,2650,13152,479611,13,1
240,2650,13569,594349,6,2
300,2651,13797,712576,6,2
360,2651,14050,834137,3,2
420,2652,14133,953490,7,2
480,2652,14291,1075270,2,2
540,2653,14446,1200875,4,2
600,2653,14482,1323668,6,2
