time,coverage,fitness,total_execs,dictionary,fatals
60,2468,9066,229662,55,1
120,2490,12386,424936,11,1
180,2491,13273,557819,7,1
240,2492,13341,678804,8,2
300,2492,13561,796752,6,2
360,2492,14004,918067,9,2
420,2492,14136,1038477,1,3
480,2492,14291,1158105,4,3
540,2495,14396,1272840,4,3
600,2650,14654,1394348,3,3
