time,coverage,fitness,total_execs,dictionary,fatals
60,2651,12742,145519,79,1
120,2669,13665,274233,15,1
180,2670,14373,391820,23,2
240,2667,14596,507898,6,2
300,2672,14856,617742,5,2
360,2669,14986,725789,5,2
420,2669,15005,842319,6,2
480,2670,15099,961379,2,2
540,2673,15136,1080778,4,2
600,2670,15154,1191379,1,2
