time,coverage,fitness,total_execs,dictionary,fatals
60,2455,10909,221615,80,0
120,2476,12598,371482,12,1
180,2481,13334,510613,5,1
240,2490,13582,640988,6,1
300,2492,13714,776091,6,1
360,2649,14044,902567,5,2
420,2649,14088,1014391,8,2
480,2649,14150,1135725,0,2
540,2649,14213,1253190,3,2
600,2652,14238,1372051,2,2
