time,coverage,fitness,total_execs,dictionary,fatals
60,2595,12324,154262,72,0
120,2645,13209,293387,13,0
180,2649,13959,422496,13,0
240,2656,14205,537206,6,1
300,2656,14432,649026,5,1
360,2656,14619,752692,5,1
420,2657,14733,858408,4,1
480,2657,14972,962568,6,2
540,2666,15190,1081886,10,2
600,2668,15372,1196619,5,2
