time,coverage,fitness,total_execs,dictionary,fatals
60,2459,11577,186647,66,1
120,2486,12665,314142,15,2
180,2492,12856,435437,7,2
240,2495,13355,552470,12,2
300,2497,13619,660922,6,2
360,2497,13727,770872,7,2
420,2497,13826,891399,4,2
480,2497,14084,1004748,0,2
540,2497,14129,1113929,4,2
600,2498,14212,1224890,2,2
