time,coverage,fitness,total_execs,dictionary,fatals
60,2604,12414,158404,87,0
120,2610,13212,296794,10,0
180,2626,13596,411501,10,0
240,2626,13921,529670,8,0
300,2782,14423,643469,3,0
360,2782,14489,755693,10,0
420,2820,14760,868371,7,0
480,2828,15061,982315,6,1
540,2828,15022,1096708,6,1
600,2830,15188,1210267,6,2
