time,coverage,fitness,total_execs,dictionary,fatals
60,2658,13362,144539,92,0
120,2667,13973,260804,16,1
180,2670,14117,382069,13,2
240,2670,14177,501514,8,2
300,2670,14210,624087,4,2
360,2671,14399,747187,8,2
420,2671,14595,869111,8,2
480,2671,14694,990228,4,2
540,2672,14763,1118033,6,2
600,2675,14909,1229528,1,2
