time,coverage,fitness,total_execs,dictionary,fatals
60,2608,12446,158204,66,0
120,2656,13259,271500,9,1
180,2659,13661,385880,9,1
240,2659,13864,499292,5,1
300,2659,14188,608592,8,1
360,2659,14250,718385,2,1
420,2659,14394,832120,6,1
480,2659,14573,945275,9,1
540,2659,14727,1063662,3,1
600,2659,14755,1180485,5,2
