time,coverage,fitness,total_execs,dictionary
60,1685,8688,212830,73
120,1690,9243,334899,10
180,1690,9370,455416,9
240,1695,9619,567058,7
300,1695,9719,675682,7
360,1695,9777,793901,4
420,1698,9955,907304,2
480,1698,9916,1023541,5
540,1698,9936,1138179,5
600,1698,10044,1252509,3
660,1717,10069,1360553,3
720,1717,10116,1470396,5
780,1717,10121,1582285,4
840,1717,10145,1697281,2
900,1717,10121,1809624,4
960,1717,10161,1921757,1
1020,1717,10173,2034636,1
1080,1717,10166,2146355,1
1140,1717,10227,2255589,5
1200,1717,10302,2367722,4
1260,1717,10316,2476928,3
1320,1717,10357,2588215,6
1380,1717,10330,2698948,3
1440,1717,10364,2806070,3
1500,1717,10360,2915499,2
1560,1717,10389,3016213,1
1620,1717,10348,3120405,5
1680,1717,10385,3223194,2
1740,1744,10386,3324803,3
1800,1743,10425,3430771,1
1860,1743,10436,3532740,1
1920,1743,10442,3636550,1
1980,1747,10462,3742984,2
2040,1748,10443,3855127,2
2100,1748,10470,3959868,6
2160,1748,10468,4066961,4
2220,1748,10454,4171630,6
2280,1748,10461,4276454,4
2340,1748,10456,4381273,2
2400,1748,10489,4489420,4
2460,1748,10466,4594633,0
2520,1748,10478,4703371,5
2580,1748,10540,4810632,2
2640,1748,10525,4919120,3
2700,1748,10524,5022283,1
2760,1748,10512,5132468,4
2820,1748,10541,5240757,2
2880,1775,10581,5350180,2
2940,1748,10636,5456350,5
3000,1750,10623,5559321,3
3060,1750,10643,5662799,4
3120,1750,10674,5772276,6
3180,1750,10673,5880392,2
3240,1750,10653,5993300,3
3300,1750,10692,6098759,4
3360,1750,10704,6205820,4
3420,1750,10803,6311684,2
3480,1750,10832,6419090,1
3540,1750,10823,6525545,3
3600,1750,10850,6633192,1
