time,coverage,fitness,total_execs,dictionary
60,1687,6364,98975,25
120,1689,6737,185182,4
180,1691,6904,274197,1
240,1691,7066,363669,0
300,1691,7217,446422,0
360,1692,7264,533380,1
420,1693,7356,619748,3
480,1693,7358,703946,0
540,1693,7361,789980,0
600,1693,7386,877267,0
660,1693,7393,962692,0
720,1694,7412,1051457,0
780,1694,7418,1136736,0
840,1697,7426,1223670,0
900,1698,7430,1310404,0
960,1698,7430,1397285,1
1020,1698,7435,1485611,1
1080,1698,7445,1578777,2
1140,1698,7445,1664594,0
1200,1699,7452,1751258,0
1260,1699,7452,1839354,0
1320,1703,7531,1928373,1
1380,1703,7532,2015219,0
1440,1703,7536,2102638,0
1500,1703,7537,2191690,0
1560,1703,7538,2281498,0
1620,1703,7545,2371548,1
1680,1703,7555,2457607,0
1740,1703,7564,2547252,0
1800,1703,7566,2635290,0
1860,1703,7596,2724512,0
1920,1703,7596,2814605,0
1980,1703,7596,2905155,0
2040,1703,7596,2996908,0
2100,1703,7596,3087509,0
2160,1703,7597,3178024,0
2220,1703,7624,3268963,0
2280,1703,7624,3359564,0
2340,1703,7624,3448251,0
2400,1703,7624,3539763,0
2460,1703,7649,3630634,0
2520,1703,7650,3722595,0
2580,1703,7650,3813676,0
2640,1703,7667,3912581,1
2700,1703,7667,4005310,0
2760,1703,7667,4097408,0
2820,1703,7667,4190915,0
2880,1703,7667,4280236,0
2940,1703,7667,4372845,0
3000,1703,7667,4466041,0
3060,1703,7667,4559093,0
3120,1703,7667,4651916,0
3180,1703,7677,4745061,0
3240,1703,7677,4838445,0
3300,1703,7677,4931692,0
3360,1703,7702,5025479,0
3420,1703,7702,5118640,0
3480,1703,7702,5209508,0
3540,1703,7702,5303517,0
3600,1703,7708,5396606,0
