time,coverage,fitness,total_execs,dictionary
60,1688,6852,145855,0
120,1691,7085,240083,0
180,1692,7101,342290,0
240,1692,7203,439810,0
300,1692,7343,530776,0
360,1692,7373,628204,0
420,1693,7444,729004,0
480,1694,7470,826018,0
540,1698,7558,922942,0
600,1698,7585,1020436,0
660,1698,7585,1117961,0
720,1698,7586,1216393,0
780,1698,7591,1313986,0
840,1698,7591,1410335,0
900,1698,7592,1508251,0
960,1698,7592,1603748,0
1020,1698,7593,1702394,0
1080,1698,7593,1801921,0
1140,1698,7593,1902096,0
1200,1698,7598,2001698,0
1260,1698,7599,2099512,0
1320,1698,7599,2197365,0
1380,1698,7600,2295098,0
1440,1698,7600,2393249,0
1500,1698,7601,2490936,0
1560,1698,7607,2589506,0
1620,1698,7620,2681536,0
1680,1698,7635,2779364,0
1740,1698,7644,2875808,0
1800,1698,7644,2972111,0
1860,1698,7669,3067342,0
1920,1698,7672,3164762,0
1980,1698,7672,3259897,0
2040,1698,7676,3353885,0
2100,1698,7676,3446088,0
2160,1698,7691,3538629,0
2220,1698,7702,3632109,0
2280,1698,7702,3729995,0
2340,1701,7710,3823308,0
2400,1701,7745,3917953,0
2460,1701,7745,4013377,0
2520,1701,7772,4105079,0
2580,1701,7781,4200232,0
2640,1701,7797,4295145,0
2700,1701,7822,4390622,0
2760,1701,7824,4486282,0
2820,1701,7824,4581176,0
2880,1701,7824,4677086,0
2940,1701,7824,4773361,0
3000,1701,7824,4869832,0
3060,1701,7824,4966382,0
3120,1701,7824,5061733,0
3180,1701,7824,5159752,0
3240,1701,7832,5255200,0
3300,1701,7832,5351048,0
3360,1701,7832,5447587,0
3420,1701,7832,5543490,0
3480,1701,7835,5640427,0
3540,1701,7835,5737810,0
3600,1702,7839,5833801,0
