time,coverage,fitness,total_execs,dictionary
60,1691,6371,112782,24
120,1694,6713,212002,1
180,1694,7039,302561,2
240,1695,7110,388943,0
300,1695,7190,480640,3
360,1695,7257,569188,0
420,1695,7281,655737,0
480,1695,7309,742686,0
540,1695,7318,829998,0
600,1695,7351,917669,0
660,1695,7376,1006448,0
720,1695,7411,1098746,1
780,1695,7446,1191576,1
840,1695,7447,1283000,1
900,1695,7448,1369678,0
960,1695,7452,1454481,0
1020,1695,7452,1540044,0
1080,1695,7454,1627467,0
1140,1695,7467,1713786,0
1200,1695,7467,1800437,0
1260,1695,7468,1888843,0
1320,1695,7468,1975228,0
1380,1695,7468,2063760,0
1440,1695,7468,2152901,0
1500,1695,7468,2245739,1
1560,1695,7468,2335526,0
1620,1695,7475,2424108,0
1680,1695,7568,2512277,0
1740,1695,7582,2599696,0
1800,1695,7582,2687104,0
1860,1695,7619,2774945,0
1920,1695,7619,2863264,0
1980,1695,7620,2950541,0
2040,1695,7620,3038447,0
2100,1699,7677,3124499,0
2160,1699,7677,3211768,0
2220,1699,7681,3297936,0
2280,1699,7687,3385015,0
2340,1699,7687,3470974,0
2400,1699,7687,3558904,0
2460,1699,7689,3645384,0
2520,1699,7690,3739368,1
2580,1699,7690,3824867,0
2640,1699,7690,3905486,0
2700,1699,7691,3976617,0
2760,1699,7691,4058874,0
2820,1699,7691,4147096,0
2880,1699,7692,4236008,0
2940,1699,7692,4324701,0
3000,1699,7700,4413350,0
3060,1699,7700,4501881,0
3120,1699,7700,4592201,0
3180,1702,7708,4682025,0
3240,1702,7708,4772491,0
3300,1702,7708,4862552,0
3360,1702,7712,4950600,0
3420,1702,7712,5046465,1
3480,1702,7712,5136295,0
3540,1702,7712,5226698,0
3600,1702,7715,5317347,0
