time,coverage,fitness,total_execs,dictionary
60,1679,6803,121577,0
120,1679,7031,214495,0
180,1679,7190,306131,0
240,1679,7252,391839,0
300,1679,7258,481534,0
360,1680,7267,570636,0
420,1680,7267,660769,0
480,1680,7343,750434,0
540,1680,7343,841583,0
600,1680,7355,936111,0
660,1680,7355,1028221,0
720,1680,7364,1120288,0
780,1680,7366,1216265,0
840,1680,7372,1307846,0
900,1680,7374,1401086,0
960,1680,7374,1491057,0
1020,1680,7374,1583571,0
1080,1680,7406,1676516,0
1140,1680,7451,1768270,0
1200,1680,7467,1858121,0
1260,1680,7485,1947798,0
1320,1680,7508,2038242,0
1380,1680,7518,2129085,0
1440,1680,7520,2218695,0
1500,1680,7520,2308687,0
1560,1680,7520,2399215,0
1620,1680,7520,2489459,0
1680,1691,7532,2585997,0
1740,1691,7532,2676788,0
1800,1691,7532,2767847,0
1860,1692,7533,2859711,0
1920,1692,7535,2949903,0
1980,1692,7535,3041536,0
2040,1692,7535,3132229,0
2100,1693,7536,3224284,0
2160,1693,7536,3316836,0
2220,1693,7536,3410404,0
2280,1694,7537,3502179,0
2340,1694,7569,3595169,0
2400,1694,7569,3687599,0
2460,1694,7577,3780797,0
2520,1694,7588,3873137,0
2580,1694,7588,3965152,0
2640,1694,7588,4054517,0
2700,1694,7588,4146381,0
2760,1694,7588,4239857,0
2820,1694,7602,4331328,0
2880,1694,7603,4421920,0
2940,1694,7603,4512719,0
3000,1694,7619,4609475,0
3060,1694,7619,4701053,0
3120,1694,7630,4792181,0
3180,1694,7655,4883970,0
3240,1694,7655,4975786,0
3300,1694,7655,5067657,0
3360,1698,7661,5158340,0
3420,1698,7661,5250746,0
3480,1698,7661,5342966,0
3540,1698,7663,5435693,0
3600,1698,7663,5527462,0
