time,coverage,fitness,total_execs,dictionary
60,1693,6986,110994,28
120,1698,7257,192443,3
180,1698,7290,275064,1
240,1698,7334,358505,4
300,1698,7428,439101,2
360,1698,7463,517834,1
420,1698,7465,598216,0
480,1698,7468,678020,0
540,1698,7501,758829,0
600,1698,7501,840760,1
660,1698,7503,925557,0
720,1698,7503,1006602,0
780,1698,7503,1089448,0
840,1698,7504,1173630,0
900,1698,7504,1257688,0
960,1698,7506,1342630,0
1020,1698,7507,1427686,0
1080,1698,7507,1512661,0
1140,1698,7534,1600148,1
1200,1698,7583,1687980,0
1260,1698,7591,1771347,0
1320,1698,7598,1851558,0
1380,1698,7598,1935159,0
1440,1698,7611,2019112,0
1500,1698,7632,2103179,0
1560,1698,7634,2187954,0
1620,1698,7637,2273106,0
1680,1698,7638,2359194,0
1740,1698,7638,2444318,0
1800,1698,7645,2530483,0
1860,1698,7670,2616743,1
1920,1698,7670,2701673,0
1980,1698,7672,2787225,1
2040,1698,7684,2867989,0
2100,1741,7737,2958107,1
2160,1741,7737,3043474,0
2220,1741,7738,3129352,0
2280,1741,7765,3214071,0
2340,1741,7781,3297750,0
2400,1741,7781,3383228,0
2460,1741,7781,3467900,0
2520,1741,7781,3553301,0
2580,1741,7791,3622561,0
2640,1741,7791,3707640,0
2700,1741,7791,3793617,0
2760,1741,7791,3877638,0
2820,1741,7791,3963022,0
2880,1741,7791,4043241,0
2940,1741,7791,4125523,0
3000,1741,7797,4203950,0
3060,1741,7855,4284500,0
3120,1742,7856,4367308,0
3180,1742,7862,4450034,0
3240,1742,7862,4533748,0
3300,1743,7870,4618907,0
3360,1743,7870,4705363,0
3420,1743,7870,4791621,0
3480,1743,7883,4877995,0
3540,1743,7886,4964878,0
3600,1743,7886,5051611,0
