time,coverage,fitness,total_execs,dictionary
60,1661,6817,231176,47
120,1690,8779,415281,12
180,1735,9643,552022,12
240,1737,9816,670630,13
300,1739,9989,785279,7
360,1739,10034,907808,2
420,1739,10047,1026092,2
480,1739,10124,1143293,7
540,1742,10146,1256166,11
600,1742,10189,1364744,5
660,1742,10286,1467219,2
720,1742,10275,1583951,6
780,1742,10303,1701399,1
840,1742,10333,1815134,2
900,1742,10470,1922047,5
960,1742,10446,2027144,1
1020,1742,10450,2134537,3
1080,1742,10447,2243868,3
1140,1742,10490,2352418,2
1200,1742,10489,2465321,5
1260,1742,10493,2578942,0
1320,1742,10514,2690532,2
1380,1742,10501,2794491,7
1440,1742,10525,2911719,3
1500,1769,10597,3023791,4
1560,1746,10706,3131709,0
1620,1746,10678,3238267,4
1680,1746,10705,3348681,2
1740,1746,10713,3453080,2
1800,1746,10701,3562524,3
1860,1746,10756,3666884,4
1920,1746,10713,3771679,10
1980,1746,10727,3876917,2
2040,1746,10707,3980597,4
2100,1746,10748,4085316,3
2160,1746,10715,4189231,5
2220,1746,10735,4292728,3
2280,1746,10734,4398685,5
2340,1748,10748,4504125,3
2400,1748,10756,4606859,5
2460,1775,10736,4703475,1
2520,1748,10714,4812982,5
2580,1748,10788,4915891,5
2640,1749,10770,5025242,5
2700,1749,10775,5130807,8
2760,1749,10721,5240391,2
2820,1749,10778,5343200,1
2880,1749,10785,5452139,4
2940,1749,10774,5562804,3
3000,1749,10772,5672231,2
3060,1749,10735,5784324,1
3120,1749,10766,5895348,2
3180,1749,10834,6002827,2
3240,1749,10844,6112091,2
3300,1749,10863,6216607,3
3360,1749,10882,6328723,1
3420,1749,10876,6435043,2
3480,1749,10888,6541299,1
3540,1749,10887,6645291,1
3600,1749,10872,6750747,0
