time,coverage,fitness,total_execs,dictionary
60,1729,8127,217098,0
120,1738,9147,369581,0
180,1741,9465,497385,0
240,1741,9601,625464,0
300,1741,9677,747786,0
360,1741,9708,869061,0
420,1741,9767,986706,0
480,1741,9802,1104758,0
540,1741,9808,1221556,0
600,1741,9926,1338125,0
660,1741,9933,1455992,0
720,1741,9934,1573514,0
780,1741,9956,1693598,0
840,1741,9983,1812558,0
900,1741,10005,1929322,0
960,1741,10022,2049376,0
1020,1741,10047,2170340,0
1080,1741,10098,2287169,0
1140,1741,10141,2405473,0
1200,1741,10146,2522040,0
1260,1741,10126,2639122,0
1320,1741,10128,2757778,0
1380,1741,10169,2874987,0
1440,1741,10154,2994418,0
1500,1741,10132,3109349,0
1560,1741,10128,3227679,0
1620,1741,10229,3345525,0
1680,1741,10254,3465280,0
1740,1741,10253,3583471,0
1800,1741,10297,3701929,0
1860,1741,10311,3820050,0
1920,1741,10288,3933842,0
1980,1741,10360,4050727,0
2040,1741,10391,4170264,0
2100,1741,10366,4288218,0
2160,1741,10417,4405789,0
2220,1741,10417,4521678,0
2280,1741,10413,4642071,0
2340,1741,10400,4758060,0
2400,1744,10412,4876737,0
2460,1744,10417,4992929,0
2520,1744,10412,5112272,0
2580,1744,10425,5230516,0
2640,1744,10467,5346264,0
2700,1744,10478,5465078,0
2760,1744,10443,5581671,0
2820,1744,10448,5698440,0
2880,1744,10445,5810077,0
2940,1745,10471,5913895,0
3000,1745,10476,6023099,0
3060,1745,10491,6124139,0
3120,1746,10516,6230427,0
3180,1746,10542,6338148,0
3240,1746,10548,6445420,0
3300,1746,10596,6547241,0
3360,1746,10615,6652003,0
3420,1746,10610,6767140,0
3480,1746,10585,6884286,0
3540,1746,10602,6997630,0
3600,1746,10633,7110430,0
