time,coverage,fitness,total_execs,dictionary
60,1672,7076,226113,0
120,1734,8904,396861,0
180,1735,9118,522725,0
240,1738,9756,644888,0
300,1738,9813,760687,0
360,1739,9914,872035,0
420,1739,9939,984862,0
480,1740,10017,1101316,0
540,1740,10036,1220398,0
600,1740,10064,1335899,0
660,1740,10076,1450724,0
720,1743,10091,1560618,0
780,1743,10164,1674405,0
840,1743,10238,1790841,0
900,1743,10311,1907623,0
960,1744,10329,2024723,0
1020,1745,10406,2137708,0
1080,1749,10479,2240291,0
1140,1749,10483,2353796,0
1200,1749,10517,2464031,0
1260,1750,10525,2572073,0
1320,1750,10536,2678000,0
1380,1750,10539,2784967,0
1440,1750,10544,2897805,0
1500,1750,10653,3008942,0
1560,1750,10648,3118404,0
1620,1750,10669,3228176,0
1680,1750,10647,3338383,0
1740,1750,10698,3439916,0
1800,1750,10713,3552528,0
1860,1750,10702,3665383,0
1920,1750,10720,3774926,0
1980,1750,10678,3883421,0
2040,1750,10697,3994850,0
2100,1750,10751,4107095,0
2160,1750,10733,4218621,0
2220,1750,10749,4328927,0
2280,1750,10746,4437816,0
2340,1750,10765,4544199,0
2400,1750,10732,4649768,0
2460,1750,10757,4759832,0
2520,1750,10845,4864894,0
2580,1750,10839,4972195,0
2640,1750,10839,5082016,0
2700,1750,10850,5189218,0
2760,1750,10947,5294362,0
2820,1750,10932,5399542,0
2880,1750,10947,5509715,0
2940,1750,10917,5618085,0
3000,1750,10966,5723067,0
3060,1750,10945,5835451,0
3120,1750,10932,5942736,0
3180,1777,10948,6047285,0
3240,1750,10965,6158154,0
3300,1750,10964,6264907,0
3360,1750,10969,6373105,0
3420,1750,10966,6477497,0
3480,1750,10969,6582362,0
3540,1750,10935,6682450,0
3600,1750,11004,6786964,0
