time,coverage,fitness,total_execs,dictionary
60,1717,8451,190790,0
120,1723,9275,300130,0
180,1723,9473,402632,0
240,1724,9516,509486,0
300,1724,9566,607731,0
360,1732,9680,712390,0
420,1732,9799,819756,0
480,1736,9883,928593,0
540,1736,9913,1029999,0
600,1739,9925,1135851,0
660,1739,9988,1242492,0
720,1739,10023,1338188,0
780,1739,10091,1441910,0
840,1739,10085,1548898,0
900,1739,10191,1653546,0
960,1739,10216,1758661,0
1020,1739,10227,1864570,0
1080,1739,10228,1968790,0
1140,1739,10277,2071749,0
1200,1739,10263,2180178,0
1260,1739,10416,2285868,0
1320,1739,10465,2392256,0
1380,1739,10455,2495315,0
1440,1739,10459,2602462,0
1500,1739,10462,2702478,0
1560,1739,10506,2806466,0
1620,1739,10527,2912715,0
1680,1742,10540,3017781,0
1740,1742,10598,3123613,0
1800,1746,10657,3229438,0
1860,1746,10683,3334484,0
1920,1746,10648,3438855,0
1980,1746,10688,3540833,0
2040,1746,10686,3642014,0
2100,1746,10741,3746264,0
2160,1746,10682,3851227,0
2220,1773,10711,3957654,0
2280,1746,10704,4064248,0
2340,1746,10690,4170860,0
2400,1773,10696,4279308,0
2460,1746,10826,4382553,0
2520,1746,10790,4488122,0
2580,1773,10776,4590908,0
2640,1746,10826,4697423,0
2700,1746,10825,4803378,0
2760,1746,10843,4908005,0
2820,1746,10814,5015254,0
2880,1746,10848,5121192,0
2940,1746,10840,5227649,0
3000,1746,10855,5334596,0
3060,1773,10909,5441643,0
3120,1746,10960,5547251,0
3180,1746,10916,5654959,0
3240,1746,10933,5756797,0
3300,1746,10929,5863459,0
3360,1746,10928,5966733,0
3420,1746,10959,6070110,0
3480,1746,10925,6174896,0
3540,1746,10952,6276906,0
3600,1746,10944,6378493,0
