time,coverage,fitness,total_execs,dictionary
60,1683,8171,211184,0
120,1690,9292,356018,0
180,1738,9636,478401,0
240,1738,9703,592755,0
300,1738,9765,714383,0
360,1739,10077,834444,0
420,1739,10108,951855,0
480,1739,10127,1051795,0
540,1739,10139,1159340,0
600,1739,10181,1270513,0
660,1739,10173,1379742,0
720,1739,10176,1494307,0
780,1739,10222,1606450,0
840,1739,10236,1720972,0
900,1739,10223,1834278,0
960,1739,10249,1946884,0
1020,1739,10237,2059076,0
1080,1742,10267,2166034,0
1140,1742,10267,2283752,0
1200,1742,10287,2396601,0
1260,1742,10332,2511619,0
1320,1742,10292,2617359,0
1380,1742,10320,2733859,0
1440,1744,10316,2851851,0
1500,1744,10388,2960513,0
1560,1744,10440,3067445,0
1620,1744,10451,3176252,0
1680,1744,10473,3286946,0
1740,1744,10494,3397240,0
1800,1771,10493,3506065,0
1860,1744,10473,3612754,0
1920,1744,10514,3727853,0
1980,1744,10526,3845889,0
2040,1744,10494,3963407,0
2100,1744,10488,4082779,0
2160,1744,10513,4196742,0
2220,1744,10497,4311981,0
2280,1744,10516,4409101,0
2340,1744,10510,4502764,0
2400,1744,10533,4621597,0
2460,1744,10512,4738001,0
2520,1744,10546,4853782,0
2580,1744,10521,4971463,0
2640,1744,10531,5090483,0
2700,1744,10540,5208524,0
2760,1744,10711,5324846,0
2820,1744,10690,5444478,0
2880,1744,10720,5562604,0
2940,1744,10694,5681771,0
3000,1744,10720,5798639,0
3060,1744,10763,5916296,0
3120,1744,10753,6032159,0
3180,1745,10782,6150220,0
3240,1745,10805,6266932,0
3300,1745,10803,6382566,0
3360,1745,10803,6498670,0
3420,1745,10799,6616321,0
3480,1745,10799,6734877,0
3540,1745,10787,6850170,0
3600,1745,10818,6967851,0
