time,coverage,fitness,total_execs,dictionary
60,1692,6883,100092,0
120,1693,7046,182359,0
180,1693,7139,261693,0
240,1693,7204,338104,0
300,1693,7293,415925,0
360,1694,7389,494920,0
420,1694,7487,570523,0
480,1694,7488,645871,0
540,1694,7491,723271,0
600,1697,7495,799584,0
660,1697,7537,879870,0
720,1697,7543,958497,0
780,1697,7561,1039378,0
840,1697,7563,1120515,0
900,1697,7572,1206528,0
960,1697,7600,1289221,0
1020,1697,7615,1369674,0
1080,1697,7651,1456459,0
1140,1697,7661,1537418,0
1200,1697,7664,1618125,0
1260,1697,7687,1698578,0
1320,1697,7687,1782552,0
1380,1697,7729,1863566,0
1440,1697,7729,1944551,0
1500,1697,7732,2024299,0
1560,1697,7746,2104433,0
1620,1697,7746,2185958,0
1680,1698,7747,2266828,0
1740,1698,7748,2348922,0
1800,1698,7777,2428972,0
1860,1698,7777,2509875,0
1920,1698,7777,2590263,0
1980,1698,7780,2674028,0
2040,1698,7780,2754859,0
2100,1698,7783,2835200,0
2160,1698,7783,2916411,0
2220,1698,7783,2997118,0
2280,1698,7783,3079856,0
2340,1698,7783,3161578,0
2400,1698,7784,3242968,0
2460,1698,7786,3324655,0
2520,1702,7793,3405620,0
2580,1702,7796,3487032,0
2640,1702,7799,3567463,0
2700,1702,7803,3647223,0
2760,1702,7806,3725544,0
2820,1702,7810,3804506,0
2880,1702,7810,3883842,0
2940,1702,7815,3963905,0
3000,1702,7816,4044092,0
3060,1702,7841,4123985,0
3120,1702,7841,4203575,0
3180,1702,7845,4284615,0
3240,1702,7845,4364726,0
3300,1702,7845,4444227,0
3360,1702,7845,4524392,0
3420,1702,7845,4605081,0
3480,1702,7845,4685198,0
3540,1702,7850,4765739,0
3600,1702,7850,4845217,0
