time,coverage,fitness,total_execs,dictionary
60,1683,8907,191894,62
120,1736,9416,308406,12
180,1740,9507,414566,6
240,1740,9573,529655,9
300,1740,9652,646267,3
360,1741,10002,756636,3
420,1741,9995,863639,2
480,1741,10058,970770,5
540,1741,10057,1084696,6
600,1741,10112,1195515,4
660,1741,10101,1306893,7
720,1741,10199,1416104,1
780,1741,10182,1524830,3
840,1741,10203,1636080,6
900,1743,10234,1745701,5
960,1744,10235,1854149,3
1020,1744,10307,1962181,5
1080,1744,10324,2073898,3
1140,1744,10361,2186770,4
1200,1744,10331,2299873,1
1260,1744,10322,2412326,1
1320,1744,10380,2524305,1
1380,1744,10370,2632736,3
1440,1744,10326,2745762,1
1500,1744,10395,2854608,5
1560,1748,10386,2966587,4
1620,1748,10385,3080091,3
1680,1775,10404,3190326,4
1740,1748,10376,3298830,3
1800,1748,10416,3405343,1
1860,1748,10451,3503657,0
1920,1748,10461,3606857,0
1980,1748,10461,3708822,2
2040,1748,10517,3818055,8
2100,1748,10533,3927245,3
2160,1748,10537,4037083,5
2220,1748,10547,4144966,5
2280,1748,10527,4253868,1
2340,1748,10560,4364678,1
2400,1748,10658,4474411,1
2460,1748,10698,4585055,3
2520,1748,10734,4690239,1
2580,1748,10717,4802134,2
2640,1748,10722,4905672,1
2700,1748,10745,5015850,3
2760,1748,10732,5124888,1
2820,1748,10709,5233283,3
2880,1748,10740,5342246,3
2940,1748,10741,5450386,3
3000,1748,10769,5557006,3
3060,1748,10782,5665740,2
3120,1749,10787,5775366,3
3180,1749,10764,5885491,2
3240,1749,10795,5996267,1
3300,1749,10762,6106488,0
3360,1749,10733,6219684,4
3420,1749,10792,6330282,4
3480,1749,10775,6439487,1
3540,1749,10785,6551595,1
3600,1749,10761,6663692,4
