time,coverage,fitness,total_execs,dictionary
60,1687,6599,116693,0
120,1687,7021,203118,0
180,1688,7136,281669,0
240,1688,7269,363555,0
300,1688,7300,440619,0
360,1688,7300,518048,0
420,1692,7304,601285,0
480,1692,7336,682066,0
540,1692,7347,761592,0
600,1692,7354,841240,0
660,1693,7362,923440,0
720,1693,7363,1003167,0
780,1693,7363,1081667,0
840,1693,7374,1162768,0
900,1694,7375,1244067,0
960,1694,7375,1324702,0
1020,1694,7400,1405595,0
1080,1694,7411,1485355,0
1140,1694,7411,1565851,0
1200,1694,7413,1645996,0
1260,1694,7428,1728001,0
1320,1694,7456,1807159,0
1380,1694,7482,1887068,0
1440,1694,7485,1966589,0
1500,1694,7504,2053704,0
1560,1697,7515,2133576,0
1620,1697,7515,2214726,0
1680,1697,7518,2295111,0
1740,1697,7518,2376778,0
1800,1697,7518,2457429,0
1860,1697,7523,2537918,0
1920,1697,7611,2619662,0
1980,1697,7611,2699952,0
2040,1701,7621,2780557,0
2100,1701,7621,2859717,0
2160,1702,7622,2939348,0
2220,1702,7627,3020961,0
2280,1702,7631,3102174,0
2340,1702,7657,3183169,0
2400,1702,7657,3265654,0
2460,1702,7672,3347463,0
2520,1702,7674,3428015,0
2580,1702,7674,3509903,0
2640,1702,7690,3591614,0
2700,1702,7694,3673525,0
2760,1702,7694,3754034,0
2820,1702,7705,3836351,0
2880,1702,7720,3918245,0
2940,1702,7720,4001390,0
3000,1702,7730,4084122,0
3060,1702,7730,4167364,0
3120,1702,7731,4249519,0
3180,1702,7746,4330015,0
3240,1702,7747,4413401,0
3300,1702,7747,4498563,0
3360,1702,7747,4581370,0
3420,1702,7747,4665033,0
3480,1702,7747,4748418,0
3540,1703,7748,4831696,0
3600,1703,7748,4916992,0
