time,coverage,fitness,total_execs,dictionary
60,1674,7732,223062,76
120,1690,9236,362202,15
180,1691,9490,490961,8
240,1695,9758,612671,6
300,1695,9865,723562,9
360,1695,9937,827262,6
420,1695,9949,932904,6
480,1695,9950,1043344,3
540,1699,10072,1153357,9
600,1699,10104,1259553,6
660,1699,10170,1363065,3
720,1699,10180,1470617,7
780,1699,10229,1574075,8
840,1699,10169,1680719,4
900,1699,10216,1784486,2
960,1699,10202,1891175,4
1020,1699,10221,1994860,2
1080,1716,10247,2101484,1
1140,1743,10291,2205408,8
1200,1744,10340,2308233,7
1260,1744,10349,2406915,3
1320,1744,10423,2509008,3
1380,1744,10417,2609781,6
1440,1744,10437,2710082,4
1500,1744,10433,2812941,4
1560,1746,10552,2914616,4
1620,1746,10528,3014167,3
1680,1746,10548,3118860,5
1740,1746,10661,3221998,1
1800,1746,10675,3325547,2
1860,1749,10708,3427567,5
1920,1749,10718,3529911,4
1980,1749,10702,3633064,3
2040,1749,10680,3738559,6
2100,1749,10723,3840605,4
2160,1749,10747,3945826,4
2220,1749,10742,4051370,7
2280,1749,10759,4155811,2
2340,1749,10803,4254948,1
2400,1749,10782,4361210,6
2460,1749,10758,4465215,0
2520,1749,10773,4567280,6
2580,1749,10782,4668223,0
2640,1776,10765,4769470,4
2700,1749,10784,4873415,4
2760,1749,10786,4976925,6
2820,1750,10820,5079987,6
2880,1750,10847,5184486,2
2940,1750,10837,5285672,2
3000,1750,10804,5386715,7
3060,1750,10801,5491044,3
3120,1750,10796,5592498,5
3180,1750,10846,5694868,4
3240,1750,10864,5797928,5
3300,1750,10837,5897945,2
3360,1750,10839,5998904,2
3420,1750,10839,6101565,2
3480,1750,10824,6203534,2
3540,1750,10852,6306304,1
3600,1750,10838,6408224,4
