time,coverage,fitness,total_execs,dictionary
60,1688,6823,135351,32
120,1690,7156,223576,3
180,1690,7223,304275,2
240,1690,7305,383836,1
300,1694,7352,465114,4
360,1697,7379,548257,0
420,1697,7387,627931,0
480,1697,7408,709281,1
540,1697,7412,793969,1
600,1697,7443,879900,0
660,1697,7498,962349,0
720,1697,7499,1046348,1
780,1697,7516,1131992,0
840,1697,7516,1213777,0
900,1697,7519,1302094,1
960,1697,7521,1386009,0
1020,1697,7521,1470345,0
1080,1697,7525,1553858,0
1140,1697,7526,1645729,1
1200,1697,7526,1731227,0
1260,1697,7529,1815691,0
1320,1697,7529,1900396,0
1380,1697,7531,1984555,0
1440,1697,7531,2069451,0
1500,1697,7531,2154140,0
1560,1697,7532,2243440,1
1620,1697,7540,2329445,0
1680,1697,7582,2417300,1
1740,1697,7615,2505029,0
1800,1697,7615,2590023,0
1860,1697,7616,2675152,0
1920,1697,7616,2761177,0
1980,1697,7616,2847800,0
2040,1697,7645,2933584,0
2100,1697,7647,3020350,1
2160,1697,7653,3106895,0
2220,1697,7653,3193269,0
2280,1697,7653,3282649,1
2340,1697,7653,3369975,1
2400,1697,7653,3458313,0
2460,1697,7653,3545042,0
2520,1697,7653,3632492,0
2580,1697,7653,3719951,0
2640,1697,7654,3810544,1
2700,1697,7655,3898200,0
2760,1697,7655,3986604,0
2820,1697,7655,4074799,0
2880,1697,7655,4161897,0
2940,1697,7655,4249582,0
3000,1697,7655,4338289,0
3060,1697,7658,4426399,0
3120,1697,7659,4513631,0
3180,1697,7687,4602951,0
3240,1698,7688,4691423,0
3300,1698,7688,4781444,0
3360,1698,7693,4869883,0
3420,1698,7693,4959180,0
3480,1698,7705,5047971,0
3540,1698,7705,5136112,0
3600,1698,7705,5224507,0
